Parameter,StandardizedFoldCoefficient,FoldChangePerPredictorStandardDeviation,MainEffectsModelR2,AbsoluteEffectRank
ka,0.558412183488806,0.0557273412764869,0.97610732753473,1
Ks,0.557453406922061,0.0556316591432479,0.97610732753473,2
alpha,-0.470140328677018,-0.0469181570866445,0.97610732753473,3
Kz,0.209262114169551,0.0208835365656013,0.97610732753473,4
Kf,0.140153227557022,0.0139867412889781,0.97610732753473,5
ns,0.128583444294502,0.0128321223901976,0.97610732753473,6
kr,0.126476901029098,0.0126218976513113,0.97610732753473,7
r0,-0.124528444124686,-0.0124274493099512,0.97610732753473,8
Kr,0.119865738708843,0.0119621296345154,0.97610732753473,9
beta,-0.0919729169051264,-0.00917853564108116,0.97610732753473,10
nz,0.0835506613838321,0.00833802764066366,0.97610732753473,11
pr,0.0499960549105817,0.00498940978879237,0.97610732753473,12
nf,0.0413278841634137,0.00412436041531291,0.97610732753473,13
gz,-0.0410646327759423,-0.00409808896145695,0.97610732753473,14
kz,0.0369906284864712,0.00369151934475771,0.97610732753473,15
fmin,-0.00945181843508383,-0.000943254332891658,0.97610732753473,16
