Sample,EquilibriumCount,StableEquilibriumCount,HasPhysicalBistability,LowerFoldSodium0,UpperFoldSodium0,UpperFoldSodium02,SodiumFoldChange,SodiumComparisonAvailable,SodiumDirectionPreserved,UnexpectedStability,OscillatoryInstability,UnexpectedFoldGeometry,alphaMultiplier,betaMultiplier,kaMultiplier,r0Multiplier,krMultiplier,KrMultiplier,prMultiplier,KsMultiplier,nsMultiplier,fminMultiplier,KfMultiplier,nfMultiplier,gzMultiplier,kzMultiplier,KzMultiplier,nzMultiplier
1,3,2,1,-0.475110305140577,0.434351199331665,0.235783322799475,-0.198567876532189,1,1,0,0,0,0.863321471428791,1.14050661143403,0.954213890992679,0.899942774727483,1.14371813741446,0.891146598289779,1.05178712920109,1.08330765441712,0.857546030585848,0.863242862722972,1.04549231521049,0.971653870725868,1.03646009779852,1.11723284829593,0.987826091456891,0.841242813188524
2,3,2,1,-1.42592325905127,0.25345917089955,0.13816976951472,-0.115289401384829,1,1,0,0,0,1.12244059701711,1.11171533630447,0.986770934758627,1.17174151790836,1.11308268368475,1.05658542198887,1.00260141539309,0.848404531660196,0.99959339643433,0.972031234122453,0.90375209715691,0.843497262281997,0.99460203053199,0.844536060101928,1.08567455879831,1.11813600923686
3,3,2,1,-0.838734563359902,0.396109909317696,0.222577412675187,-0.173532496642508,1,1,0,0,0,0.820827328346089,1.09926010976622,0.876298307754346,0.849149146627718,0.849836389586851,1.05561877801335,0.910146089022826,0.991309085974827,0.850381964265708,0.823484538334355,0.941297435425946,1.17429093023716,1.19721983916136,1.13636900012208,1.15450797426156,1.17854891651957
4,3,2,1,-1.12430920562382,0.295487862838989,0.148495367742262,-0.146992495096727,1,1,0,0,0,1.19865280279597,1.10188019868473,1.04203052387268,0.969775319227586,0.839397537114229,1.19218711408155,1.00049098279263,1.01875101341411,0.894541139081573,0.872831562496701,1.1702153925604,0.957010929729808,1.08296904302121,0.942122792955324,0.890045312786182,0.81880665560997
5,3,2,1,-0.88125503772935,0.225562626295626,0.121485477304738,-0.104077148990887,1,1,0,0,0,1.09436557779872,0.953929557637605,0.902727118938952,0.900041359890422,0.938778488370718,0.974153337224419,0.886011802437959,0.828258211064477,1.17553212148956,0.869750672739981,0.802510939485744,1.12992587921754,0.880319968113262,1.17343767148229,0.926586343073698,1.0354141864341
6,3,2,1,-0.320462476213958,0.588511440088025,0.357726487949163,-0.230784952138862,1,1,0,0,0,0.886859581608501,1.19691982705974,1.19676387785925,1.19213623323865,1.19222524607033,0.875180279850765,1.09487728299313,1.10862739412153,0.931922622312526,1.0501944325994,1.06726851601511,0.865681039437941,1.01878013067863,0.982490163781698,1.10105515493556,0.973974816591121
7,3,2,1,-0.46716375830132,0.594697298796301,0.390431200840349,-0.204266097955952,1,1,0,0,0,0.950406536822993,0.914454460051751,1.12763295779052,0.965920623535559,1.0130164251069,1.01673905571613,0.948462660993623,1.19167193066438,1.06779642437635,0.831524289263273,0.875001431778832,1.12052022323323,0.856102727406376,0.910957271584474,1.08561034327244,1.0601416890245
8,3,2,1,-0.673057253560336,0.35249174092412,0.166319328960877,-0.186172411963243,1,1,0,0,0,0.950123507032985,0.912764234047091,1.07590017340105,1.00306154922034,0.892211734750464,1.04084980600385,0.889039611815304,0.957112740940636,0.873705993362783,0.981394983201764,0.842738904321313,1.17403577147596,0.951305036764353,1.06178773535707,0.968391695813281,0.866712010773709
9,3,2,1,-1.15478007607816,0.363299248926766,0.209720104839191,-0.153579144087574,1,1,0,0,0,1.09595202044164,0.875742554948953,1.04621754029198,0.833272119814873,1.07856323527844,0.83730762854292,0.818814976188508,1.03354709240902,1.18030585767826,1.08060937539461,0.90033891899655,0.847906925025717,1.18411095013562,1.16284213979297,0.817415578159837,1.19963939298438
10,3,2,1,-1.12471313767426,0.394418202618719,0.206525139653717,-0.187893062965002,1,1,0,0,0,0.852073416607894,1.00519696399285,1.16278288807525,1.06930636768123,0.903429252057039,1.14778301137538,0.970757179890763,0.83793046829168,0.886994526466795,1.05665551712895,1.03926204305243,1.07177815875993,1.09220245033951,0.892691859589401,0.9792953951418,0.928101588927528
